2018-09-22 11:42:32 DEBUG StandAloneGraphics:13 - hi
2018-09-22 11:43:58 INFO  StandAloneGraphics:13 - Started Main Class
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -91
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -111
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -91
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -91
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -106
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -86
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -101
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -91
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -51
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -5
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -51
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -40
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 21
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 6
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -29
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 1
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 16
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -4
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -9
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -9
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -39
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 16
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 1
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 1
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 1
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 6
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -4
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 1
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 16
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -4
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 1
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -34
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 11
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 1
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 10
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 21
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 51
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 21
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 21
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 66
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 46
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 11
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 66
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 51
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 51
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 51
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 66
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 46
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 51
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 61
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 51
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 6
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 61
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 26
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 6
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 51
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 31
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -4
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 51
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 36
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 56
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 36
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 51
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 31
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 36
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 46
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 36
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -40
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -29
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 21
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 26
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -9
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -9
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -9
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 1
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 16
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -4
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -39
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 16
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 1
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 1
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -34
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 1
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -4
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 1
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 11
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 6
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 16
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -4
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 1
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 11
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 1
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -40
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 11
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 21
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 6
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -9
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 16
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 16
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -9
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -9
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -39
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 16
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 1
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 1
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 1
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 6
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -4
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 1
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 16
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -4
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 1
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -34
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 11
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 1
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 5
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 16
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 66
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 51
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 16
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 16
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 51
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 6
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 61
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 46
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 46
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 46
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 51
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 46
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 46
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 61
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 41
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 46
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 56
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 46
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -15
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -4
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 46
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 31
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - -4
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 16
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 56
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 41
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 26
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 26
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 26
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 31
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 26
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 26
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 41
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 41
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 26
2018-09-22 11:44:01 INFO  StandAloneGraphics:17 - 36
